mav_type,airframe_name,log_id,log_date,file_size_bytes,px4_duration_s,px4_logged_errors,px4_logged_warnings,wall_clock_s,overall_score,letter_grade,score_label,num_findings,analysers_ran,analysers_skipped
Tiltrotor VTOL,Generic Tiltrotor VTOL,bc29728b-e418-44be-8492-d9410bd50d69,2025-05-23,153849856,3578,0,31,2.48,71.2,C,Caution,18,oscillation|vibration|ekf|battery|parameters,gps|motors|ascent_profile
Ground Rover,Generic Rover Differential,62045563-dac6-4c82-a8ff-36b1227cf69c,2026-03-27,117033556,3189,0,0,2.91,81.2,B,Good,10,oscillation|vibration|ekf|gps|parameters|motors,ascent_profile|battery
Ground Rover,Generic Rover Differential,822865bd-5675-46db-b079-51d3aedb6d59,2024-12-10,144586604,5615,0,3142,4.82,85.0,B,Good,10,oscillation|vibration|ekf|battery|gps|parameters,ascent_profile|motors
Two-rotor VTOL (Tailsitter),Generic VTOL Tailsitter,9250f406-50cc-4195-81a0-510e153010e5,2025-10-02,279724350,2625,0,46,8.45,65.5,D,Caution,19,oscillation|vibration|ekf|battery|gps|parameters,ascent_profile|motors
Two-rotor VTOL (Tailsitter),Generic VTOL Tailsitter,7671bf18-66af-4fa3-8f7c-9443a2e24374,2026-06-04,297130351,2793,1,6,6.92,75.8,C,Good,16,oscillation|vibration|ekf|battery|gps|parameters,ascent_profile|motors
Quad-rotor VTOL (Tailsitter),Generic VTOL Tailsitter,8264d042-72f6-4f79-82b6-c11ced80b9dc,2025-11-12,121853952,11107,1,1345,2.94,80.0,B,Good,17,oscillation|vibration|gps|parameters|ascent_profile,ekf|battery|motors
Quad-rotor VTOL (Tailsitter),Generic VTOL Tailsitter,3f9b295a-f6a7-4d6e-a2b7-bba5ce010d24,2025-06-24,192108778,4262,5,72,3.15,59.5,E,Warning,30,oscillation|vibration|ekf|battery|gps|parameters,ascent_profile|motors
Normal helicopter with tail rotor,Generic Helicopter (Tail ESC),a8cd558b-e184-43d6-a85e-473631c8b99e,2025-11-04,161357338,3921,0,10,2.44,61.6,D,Caution,20,oscillation|vibration|ekf|battery|gps|parameters,ascent_profile|motors
Fixed Wing,Generic Standard Plane,f71a0400-4471-464b-a82f-c422e235dcc3,2025-12-01,224899088,4777,1,615,3.36,45.9,F,Warning,25,oscillation|vibration|ekf|gps|parameters,ascent_profile|battery|motors
VTOL Standard,Generic Standard VTOL,bfdcc68b-66c0-440e-9764-a183e82f35a6,2025-07-15,215045425,5437,0,0,3.52,83.2,B,Good,17,oscillation|vibration|ekf|battery|gps|parameters,ascent_profile|motors
